,brand_id,barcode,category,categoryCode,name,topBrand,brandCode,cpg_id,cpg_ref
67,5f3e9195be37ce5a0e01b960,511111615583,Baking,BAKING,test brand @1597936021514,False,,5f3e9195be37ce5a0e01b95f,Cogs
68,5fb82faebe37ce522e165ce9,511111117841,Grocery,GROCERY,Rainbo,False,RAINBO,5fb6b608be37ce522e165cb9,Cogs
69,57e58157e4b0ac389136a30a,511111602279,Beer Wine Spirits,BAKING,Crispin Cider Company,False,CRISPIN,5332f709e4b03c9a25efd0f1,Cogs
70,5fd3acb6be37ce0d9386bb41,511111318194,Baking,BAKING,test brand @1607707830137,False,TEST BRANDCODE @1607707830137,5fd3acb5be37ce0d9386bb3e,Cogs
71,5e90a545ee7f2d70340f40d7,511111114413,Health & Wellness,HEALTHY_AND_WELLNESS,Claritin®,False,CLARITIN®,5d9b4f591dda2c6225a284aa,Cogs
72,5daf5e94a60b87376833e362,511111706045,Breakfast & Cereal,BAKING,Cookie Crisp™,False,COOKIE CRISP,5332f5f3e4b03c9a25efd0ae,Cogs
73,5fb2852cbe37ce522e165caf,511111717317,Baking,BAKING,test brand @1605535020441,False,TEST BRANDCODE @1605535020442,5fb2852cbe37ce522e165cae,Cogs
74,5332f743e4b03c9a25efd109,511111903789,Snacks,BAKING,Keebler,False,,5332f5f2e4b03c9a25efd0aa,Cpgs
75,5fa98944be37ce239d107100,511111417262,Baking,BAKING,test brand @1604946244750,False,TEST BRANDCODE @1604946244750,5fa98944be37ce239d1070ff,Cogs
76,5afda65de4b0c11cfecd49fb,511111004561,Snacks,BAKING,SNYDERS OF HANOVER,False,SNYDERS OF HANOVER,5a734034e4b0d58f376be874,Cogs
77,5332fa7ee4b03c9a25efd230,511111702894,Baking,BAKING,Powerade,False,,5332f5ebe4b03c9a25efd0a8,Cpgs
78,57ebbfafe4b0ac389136a332,511111002154,Condiments & Sauces,BAKING,Good Seasons,False,GOOD SEASONS,559c2234e4b06aca36af13c6,Cogs
79,5f493682be37ce52f8314fce,511111115922,Baking,BAKING,test brand @1598633602279,False,TEST BRANDCODE @1598633602279,5f493682be37ce52f8314fcb,Cogs
80,57ace91ae4b057c992a316ac,511111602552,Baking,BAKING,Pizza Pizza Pizza,False,,57ace90fe4b057c992a316ab,Cpgs
81,5a5d2431e4b06ba572cf24a1,511111200246,Beer Wine Spirits,BAKING,Revolver,False,REVOLVER,5332f709e4b03c9a25efd0f1,Cogs
82,57e5810ce4b0ac389136a307,511111802280,Beer Wine Spirits,BAKING,Keystone Light,False,KEYSTONE LIGHT,5332f709e4b03c9a25efd0f1,Cogs
83,5332f5f2e4b03c9a25efd0ab,511111604037,Baking,BAKING,Our Family,False,,5332f5f3e4b03c9a25efd0ac,Cpgs
84,5db9f9cca60b87376833e36b,511111806226,Snacks,BAKING,Fruit Roll-Ups™,False,BETTY CROCKER FRUIT ROLL UPS,5332f5f3e4b03c9a25efd0ae,Cogs
85,5fd2a0c0be37ce49eb72c0f4,511111118169,Candy & Sweets,CANDY_AND_SWEETS,test brand @1607639232356,False,TEST BRANDCODE @1607639232356,5332fa12e4b03c9a25efd1e7,Cogs
86,5aa1b41de4b086c8aad5e096,511111304265,Condiments & Sauces,BAKING,MOMOFUKU Sauce,False,MOMOFUKU,559c2234e4b06aca36af13c6,Cogs
87,592486bee410d61fcea3d136,511111500735,Frozen,BAKING,POPSICLE,False,POPSICLE,5332f5f6e4b03c9a25efd0b4,Cogs
88,5332f603e4b03c9a25efd0be,511111103936,Beverages,BAKING,Mug Root Beer,False,MUG Root Beer,5332f5fbe4b03c9a25efd0ba,Cpgs
89,5afda699e4b0c11cfecd49fd,511111704584,Snacks,BAKING,Tom's,False,TOMS,5a734034e4b0d58f376be874,Cogs
90,5fc54c0bbe37ce1911dbb3b5,511111017899,Baking,BAKING,test brand @1606765579244,False,TEST BRANDCODE @1606765579244,5fc54c0abe37ce1911dbb3b1,Cogs
91,5f358338be37ce443bf9d55b,511111715320,Baking,BAKING,test brand @1597342520305,False,TEST BRANDCODE @1597342520305,5f358338be37ce443bf9d557,Cogs
92,592486bfe410d61fcea3d137,511111000723,Dairy,BAKING,PROMISE,False,PROMISE,53e10d6368abd3c7065097cc,Cogs
93,5a4d2295e4b0d5c3fd86b679,511111200529,Snacks,BAKING,OFF THE EATEN PATH,False,OFF THE EATEN PATH,5332f5fbe4b03c9a25efd0ba,Cogs
94,5f628216be37ce78e6e2efaf,511111116684,Candy & Sweets,CANDY_AND_SWEETS,test brand @1600291350125,False,TEST BRANDCODE @1600291350125,5332fa12e4b03c9a25efd1e7,Cogs
95,5332f9fce4b03c9a25efd1cd,511111003199,Baking,BAKING,Honey Smacks,False,,5332f5f2e4b03c9a25efd0aa,Cpgs
96,5f9770bfbe37ce03d08a2d85,511111117070,Baking,BAKING,test brand @1603760319758,False,TEST BRANDCODE @1603760319758,5f9770bfbe37ce03d08a2d83,Cogs
97,57ebc293e4b0ac389136a345,511111301974,Frozen,BAKING,Nancy's,False,NANCY'S,559c2234e4b06aca36af13c6,Cogs
98,5f513e9ebe37ce21f1287c00,511111816492,Baking,BAKING,test brand @1599159966676,False,,5f513e9ebe37ce21f1287bff,Cogs
99,5332f7b8e4b03c9a25efd145,511111903413,Baking,BAKING,Stella Artois,False,,5332f7a7e4b03c9a25efd134,Cogs
100,5ab153fee4b0915382df761e,511111704379,Canned Goods & Soups,BAKING,Campbell's Chunky Maxx,False,CAMPBELLS CHUNKY MAXX,5a734034e4b0d58f376be874,Cogs
101,5aa1b5b9e4b05a92fc9b1631,511111004288,Condiments & Sauces,BAKING,FOOD NETWORK KITCHEN INSPIRATIONS,False,FOOD NETWORK KITCHEN INSPIRATIONS,559c2234e4b06aca36af13c6,Cogs
102,5f3e9172be37ce5a0e01b954,511111215547,Baking,BAKING,test brand @1597935986390,False,TEST BRANDCODE @1597935986390,5f3e9172be37ce5a0e01b952,Cogs
103,5f4936ddbe37ce52f8314fdc,511111015970,Baking,BAKING,test brand @1598633693744,False,TEST BRANDCODE @1598633693744,5f4936ddbe37ce52f8314fda,Cogs
104,57c0829ce4b0718ff5fcb03a,511111002437,Baking,BAKING,Victoria,False,,5332f7a7e4b03c9a25efd134,Cpgs
105,5a4d244ae4b0bcb2c74ea77f,511111500506,Snacks,BAKING,SABRITAS,False,SABRITAS,5332f5fbe4b03c9a25efd0ba,Cogs
106,57ebbfa1e4b0ac389136a330,511111702177,Beverages,BAKING,Gevalia,False,GEVALIA KAFFE,559c2234e4b06aca36af13c6,Cogs
107,5f43faabbe37ce3ef3fd3715,511111115717,Baking,BAKING,test brand @1598290603501,False,TEST BRANDCODE @1598290603501,5f43faabbe37ce3ef3fd3714,Cogs
108,59d550f4e4b090070b009534,511111600633,Dairy,BAKING,"O, That's Good!",False,O THAT'S GOOD,559c2234e4b06aca36af13c6,Cogs
109,585a9645e4b03e62d1ce0e79,511111801757,Snacks,BAKING,Chester's,True,CHESTER'S,5332f5fbe4b03c9a25efd0ba,Cogs
110,585a968ee4b03e62d1ce0e82,511111101666,Snacks,BAKING,Miss Vickies,False,MISS VICKIE'S,5332f5fbe4b03c9a25efd0ba,Cogs
111,5d2f6b82a3a01810a2174aed,511111704867,Condiments & Sauces,BAKING,SIR KENSINGTON'S,False,SIR KENSINGTON'S,5332f5f6e4b03c9a25efd0b4,Cogs
112,5fa98944be37ce239d1070fe,511111217251,Baking,BAKING,test brand @1604946244133,False,,5fa98944be37ce239d1070fd,Cogs
113,5332f9f2e4b03c9a25efd1c8,511111803232,Baking,BAKING,Crispix,False,,5332f5f2e4b03c9a25efd0aa,Cpgs
114,55a41b55e4b0d0a65b3692ef,511111502708,Baking,BAKING,NessAlla,False,,55a41b4be4b0d0a65b3692ee,Cpgs
115,5887a372e4b02187f85cdad9,511111001119,Snacks,BAKING,Doritos,True,DORITOS,5332f5fbe4b03c9a25efd0ba,Cogs
116,57ed0697e4b072ac2294b8f2,511111101895,Condiments & Sauces,BAKING,A.1.,True,A.1.,559c2234e4b06aca36af13c6,Cogs
117,55b630c2e4b0d8e685c1421d,511111002642,Baking,BAKING,RC Cola,False,,55b62995e4b0d8e685c14213,Cpgs
118,5332f605e4b03c9a25efd0c0,511111403913,Baking,BAKING,Amp,False,,5332f5fbe4b03c9a25efd0ba,Cogs
119,5f43faabbe37ce3ef3fd3716,511111315728,Baking,BAKING,test brand @1598290603587,False,TEST BRANDCODE @1598290603587,5f43faabbe37ce3ef3fd3714,Cogs
120,5d66de49a3a018093ab3472a,511111505433,Beverages,BAKING,Looza Fruit Juices,False,LOOZA JUICES,5332f5fbe4b03c9a25efd0ba,Cogs
121,5da605dc1dda2c3e1416ae83,511111005582,Health & Wellness,BAKING,Aleve®,False,ALEVE,5d9b4f591dda2c6225a284aa,Cogs
122,5e3876bfee7f2d697e835bd3,511111613961,Beauty,BAKING,Soft-Sheen Carson - Hair Color,False,SOFT-SHEEN CARSON - HAIR COLOR,5e28b81cee7f2d697e835bcd,Cogs
123,5fa98945be37ce239d107104,511111217305,Candy & Sweets,CANDY_AND_SWEETS,test brand @1604946245498,False,TEST BRANDCODE @1604946245499,5332fa12e4b03c9a25efd1e7,Cogs
124,57ebc11fe4b0ac389136a33a,511111802075,Baking,BAKING,Kraft Caramels,False,,559c2234e4b06aca36af13c6,Cogs
125,5f494c5f04db711dd8fe87e5,511111716150,Baking,BAKING,test brand @1598639199117,False,TEST BRANDCODE @1598639199117,5f494c5d04db711dd8fe87e2,Cogs
126,5bd201a990fa074576779a19,511111104698,Baby,BAKING,Pull-Ups,False,PULL UPS,550b2565e4b001d5e9e4146f,Cogs
127,5fb2852cbe37ce522e165cb1,511111417330,Baking,BAKING,test brand @1605535020629,False,TEST BRANDCODE @1605535020629,5fb2852cbe37ce522e165cae,Cogs
128,5332f60ce4b03c9a25efd0c3,511111303893,Beverages,BAKING,Brisk Iced Tea,False,BRISK,5332f5fbe4b03c9a25efd0ba,Cogs
129,5a7e0604e4b0aedb3b84afd3,511111504139,Beverages,BAKING,Chris Brand XYZ,False,CHRISXYZ,55b62995e4b0d8e685c14213,Cogs
130,5332f9f2e4b03c9a25efd1c7,511111003243,Baking,BAKING,All-Bran,False,,5332f5f2e4b03c9a25efd0aa,Cpgs
131,57ebbd44e4b0ac389136a32d,511111002208,Condiments & Sauces,BAKING,Bull's Eye,False,BULL'S-EYE,559c2234e4b06aca36af13c6,Cogs
132,592486bee410d61fcea3d12f,511111600794,Frozen,BAKING,KLONDIKE,False,KLONDIKE,5332f5f6e4b03c9a25efd0b4,Cogs
133,592486bee410d61fcea3d12a,511111600848,Frozen,BAKING,FRUTTARE,False,FRUTTARE,53e10d6368abd3c7065097cc,Cogs
134,5da60576a60b87376833e349,511111305569,Health & Wellness,BAKING,AFRIN® NO DRIP PUMP MISTS,False,511111305569,53e10d6368abd3c7065097cc,Cogs
135,5332f5f5e4b03c9a25efd0b0,511111404002,Baking,BAKING,Betty Crocker,False,,5332f5f3e4b03c9a25efd0ae,Cpgs
136,580dff9fe4b0f32b2de21382,511111701859,Baking,BAKING,Knox Gelatin,False,KNOX,559c2234e4b06aca36af13c6,Cogs
137,5da608131dda2c3e1416ae8a,511111505716,Health & Wellness,BAKING,Claritin® ADULTS,False,511111505716,53e10d6368abd3c7065097cc,Cogs
138,588b9f8fe4b02187f85cdada,511111501107,Snacks,BAKING,Planters,False,PLANTERS,559c2234e4b06aca36af13c6,Cogs
139,592486bde410d61fcea3d127,511111800873,Personal Care,PERSONAL_CARE,DEGREE,False,DEGREE,5332f5f6e4b03c9a25efd0b4,Cogs
140,5a4d23dae4b0bcb2c74ea77e,511111000518,Beverages,BAKING,Caleb's Kola,False,CALEB'S KOLA,5332f5fbe4b03c9a25efd0ba,Cogs
141,5d66dc946d5f3b6188d4f04e,511111305408,Beverages,BAKING,Lemon Lemon Sparkling Drinks,False,LEMON LEMON,5332f5fbe4b03c9a25efd0ba,Cogs
142,592486bfe410d61fcea3d140,511111300656,Personal Care,PERSONAL_CARE,VASELINE,False,VASELINE,5332f5f6e4b03c9a25efd0b4,Cogs
143,5d658ff3a3a018514994f432,511111005216,Magazines,BAKING,Cooking Light Magazine,False,511111005216,53e10d6368abd3c7065097cc,Cogs
144,5fcda494be37ce688e08b0cc,511111817932,Baking,BAKING,test brand @1607312532178,False,TEST BRANDCODE @1607312532178,5fcda494be37ce688e08b0cb,Cogs
145,5ef4f667be37ce2efae842ea,511111715047,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,Pinesol,False,PINESOL,5eebc5412455c97a877ef382,Cogs
146,55b6308ee4b0d8e685c1421a,511111202677,Baking,BAKING,Snapple,False,,55b62995e4b0d8e685c14213,Cogs
147,5332f760e4b03c9a25efd11b,511111603719,Baking,BAKING,Honest Ade,False,,5332f5ebe4b03c9a25efd0a8,Cpgs
148,5f16f536be37ce2b30061e29,511111215103,Candy & Sweets,CANDY_AND_SWEETS,test brand @1595340086791,False,TEST BRANDCODE @1595340086791,5332fa12e4b03c9a25efd1e7,Cogs
149,5d642dbfa3a018514994f42e,511111005148,Magazines,BAKING,Shape,False,511111005148,5d5d4fd16d5f3b23d1bc7905,Cogs
150,5e3875d2ee7f2d697e835bce,511111013914,Beauty,BAKING,Essie,False,ESSIE,5e28b81cee7f2d697e835bcd,Cogs
151,5332f9f3e4b03c9a25efd1c9,511111303220,Baking,BAKING,Pop-tarts,False,,5332f5f2e4b03c9a25efd0aa,Cpgs
152,5c45f91b87ff3552f950f027,511111204923,Grocery,BAKING,Brand1,True,0987654321,5c45f8b087ff3552f950f026,Cogs
153,58861c7d4e8d0d20bc42c4d6,511111601449,Snacks,BAKING,Jell-O Refrigerated Pudding & Gelatin,False,,559c2234e4b06aca36af13c6,Cogs
154,55b630fde4b0d8e685c14223,511111502586,Baking,BAKING,Diet Dr. Pepper,False,,55b62995e4b0d8e685c14213,Cogs
